"File Name","Image Agent Name#1","Image Agent Type#1","Image Agent Role#1","Image Title#1","Image Title Type#1","Image Description#1","Subject Term#1","Subject Type#1","Subject Vocab#1","Subject Refid#1","Subject Term#2","Subject Type#2","Subject Vocab#2","Subject Refid#2","Location Name 1#1","Location Type 1#1","Location Vocab 1#1","Location Refid 1#1","Location Extent 1#1","Location Name 2#1","Location Type 2#1","Location Vocab 2#1","Location Refid 2#1","Location Extent 2#1","Location Name 3#1","Location Type 3#1","Location Vocab 3#1","Location Refid 3#1","Location Extent 3#1","Location Name 4#1","Location Type 4#1","Location Vocab 4#1","Location Refid 4#1","Location Extent 4#1","Location Name 5#1","Location Type 5#1","Location Vocab 5#1","Location Refid 5#1","Location Extent 5#1","Collection Name#1","Work Repository Holding Institution#1","Image Rights#1","Image Measurement#1","Image Measurement Type#1","Image Measurement Unit#1","Image Date#1","Image Date Type#1","Image Work Type#1","Image Work Type Vocab#1","Image Work Type Refid#1","Work Agent Name#1","Work Agent Name Vocab#1","Work Agent Name Refid#1","Work Agent Name Type#1","Work Agent Role#1","Work Agent Role Vocab#1","Work Agent Role Refid#1","Work Title#1","Work Title Type#1","Creation Date#1","View Date#1","Creation Date#2","View Date#2","Material#1","Material Type#1","Material Vocab#1","Material Refid#1","Technique#1","Technique Vocab#1","Technique Refid#1","Work Type#1","Work Type Vocab#1","Work Type Refid#1","Relation Type#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"mac_04034.tif","Rojas-Sanders, Alex","personal","scanning technician","Corner view of palace near the Grand Canal, Venice","generalView","Pencil sketch, corner view of palace near the Grand Canal, Venice","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Venice (Italy)","geographic","lcsh","n 79018142","inhabited place","Grand Canal (Venice, Italy)","geographic","lcsh","sh 89003458","geographic feature","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","142,722,012","fileSize","bytes","2007-08-10","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Palazzo Corner della ca[nal] Grande. Venice","creator","","1888","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","197221","4779","mac_04034.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~197221~111080"
"mac_02057.tif","Rojas-Sanders, Alex","personal","scanning technician","Courtyard of Merton College, Oxford","generalView","Mixed media drawing of the courtyard of Merton College, Oxford","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","England","geographic","lcsh","n 82068148","nation","Oxfordshire (England)","geographic","lcsh","n 81006934","administrative subdivision","Oxford (England)","geographic","lcsh","n 79065853","inhabited place","University of Oxford","corporate","naf","n 79095521","educational institution","Merton College","corporate","naf","n 82120648","educational institution","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","142,366,600","fileSize","bytes","2007-06-14","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","In Courtyard. Merton Coll[ege]. Oxford","creator","1885-08-05","1885-08-05","","","mixed media","medium","aat","300163347","mixed media","aat","300163347","mixed media","aat","300163347","relatedTo","196213","4779","mac_02057.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~196213~111012"
"mac_u01002.tif","Rojas-Sanders, Alex","personal","scanning technician","Cowane's Hospital bell-tower","generalView","Detailed sketch of Cowane's Hospital with crow-stepped roof elements, detailing bell-tower of ogival leaded roof and niche with statue. Also known as Guild-Hall in Stirling","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Scotland","geographic","lcsh","n 79123936","nation","Stirling (Scotland : County)","geographic","lcsh","n 2004022511","administrative subdivision","Stirling (Scotland)","geographic","lcsh","no2008009928","inhabited place","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","59,059,212","fileSize","bytes","2007-04-19","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Guild Hall. Stirling","creator","1880-08-06","1880-08-06","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","194377","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~194377~"
"mac_u01008.tif","Oliver, Daniel","personal","scanning technician","Crathes Castle at Aberdeenshire","generalView","Pencil drawing of the Crathes Castle at Aberdeenshire, Scotland","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Scotland","geographic","lcsh","n 79123936","nation","Aberdeenshire (Scotland)","geographic","lcsh","n 82060370","administrative subdivision","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","74,084,848","fileSize","bytes","2008-07-01","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Crathes Castle, Aberdeenshire","creator","1888-08-21","1888-08-21","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","200047","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~200047~"
"mac_02062.tif","Rojas-Sanders, Alex","personal","scanning technician","Croscombe Church","generalView","Pencil drawing of Croscombe Church, Croscombe, Somerset, England","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","England","geographic","lcsh","n 82068148","nation","Somerset (England)","geographic","lcsh","n 80131990","administrative subdivision","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","143,477,900","fileSize","bytes","2007-06-07","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Croscombe Church","creator","1887-06-29","1887-06-29","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","195799","4779","mac_02062.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~195799~111013"
"mac_02022.tif","Rojas-Sanders, Alex","personal","scanning technician","Croscombe Church","generalView","Pencil drawing of Croscombe Church (church of St. Mary the virgin), including spire, 1/4 plan of parapet level, 1/4 plan of belfry stage, Croscombe, Mendip, Somerset, England","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","England","geographic","lcsh","n 82068148","nation","Somerset (England)","geographic","lcsh","n 80131990","administrative subdivision","Mendip (England)","geographic","lcsh","nr2006010588","administrative subdivision","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","142,660,576","fileSize","bytes","2007-05-25","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Croscombe Church. Spire","creator","","1887-06-2?","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","195475","4779","mac_02022.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~195475~111000"
"mac_u01029.tif","Rojas-Sanders, Alex","personal","scanning technician","Cupid by Prud' hon","generalView","Two pencil skeches of children or cherubs, possibly copies of Cupids by Pierre-Paul Prud'hon. Origin inconclusive, possibly not produced by MacLaren. (Note on piece indicates source likely to have been Cupid by Pierre-Paul Prud'hon (1758-1823), reproduced in Gazette des Beaux Arts 1876, p.428 and facing plate.)","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","","","","","","","","","","","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","120,873,976","fileSize","bytes","2007-05-24","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Cupid by Prud' hon. (From Gazette des Beaux Arts 1876. S.K.M.)","creator","1881-05-14","1881-05-14","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","195403","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~195403~"
"mac_04002.tif","Oliver, Daniel","personal","scanning technician","Dados at Pompeii","generalView","Watercolor of two panels of dados in Pompeii, Italy","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Pompeii (Extinct city)","geographic","lcsh","sh 85104771","inhabited place","","","","","","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","63,887,460","fileSize","bytes","2007-09-26","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Dados. Pompeii","creator","1886-04-17","1886-04-17","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054216","watercolors (paintings)","aat","300078925","relatedTo","197311","4779","mac_04002.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~197311~111058"
"mac_u04001.tif","Rojas-Sanders, Alex","personal","scanning technician","Decor from the Church of San Domenico Maggiore, Naples","generalView","Ink & pencil study of interior decor (including winged mythological beasts) of the Church of San Domenico Maggiore, Naples","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Naples (Italy)","geographic","naf","n 79015689","inhabited place","San Domenico maggiore (Basilica : Naples, Italy)","corporate","naf","n 78015894","place of worship","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","150,824,616","fileSize","bytes","2007-08-09","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","In Church of S[an] Domenico Maggiore. Naples","creator","1886-04-03","1886-04-03","","","graphite (mineral)","medium","aat","300011098","drawing (image-making)","aat","300054196","drawings (visual works)","aat","300033973","relatedTo","197041","4779","","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~197041~"
"mac_04010.tif","Rojas-Sanders, Alex","personal","scanning technician","Decoration of diagonal ribs of groining, from the Church of St. Francis at Assisi","generalView","watercolor study of the decoration of diagonal ribs of groining, from the Church of St. Francis at Assisi","architectural drawings (visual works)","descriptiveTopic","aat","300034787","grand tours","descriptiveTopic","aat","300054796","Italy","geographic","lcsh","n 79021783","nation","Assisi (Italy)","geographic","lcsh","n 79089733","inhabited place","San Francesco (Church : Assisi, Italy)","corporate","naf","n 82090296","place of worship","","","","","","","","","","","Thomas MacLaren Collection of Architectural Drawings","University of Colorado Libraries. Special Collections Department","The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. https://rightsstatements.org/page/UND/1.0/?language=en","165,842,004","fileSize","bytes","2007-08-10","other","digital image","aat","300215302","MacLaren, Thomas, 1863-1928","naf","no2007052477","personal","artist","aat","300025103","Church of St. Francis at Assisi. Decoration of Diagonal Ribs of Groining","creator","","1886","","","watercolor (paint)","medium","aat","300015045","painting (image-making)","aat","300054216","watercolors (paintings)","aat","300078925","relatedTo","197095","4779","mac_04010.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~36~36~197095~111065"
